cod_ibge6,leitos_internacao,leitos_internacao_sus,ano
171660,26.0,26.0,2014
171670,21.0,21.0,2014
171700,6.0,6.0,2014
171750,5.0,5.0,2014
171790,7.0,7.0,2014
171820,126.0,126.0,2014
171886,6.0,6.0,2014
172065,5.0,5.0,2014
172090,47.0,47.0,2014
172100,605.0,428.0,2014
172120,40.0,40.0,2014
172210,28.0,28.0,2014
210005,334.0,121.0,2014
210010,15.0,15.0,2014
210015,15.0,15.0,2014
210020,24.0,24.0,2014
210030,25.0,25.0,2014
210043,48.0,48.0,2014
210047,69.0,69.0,2014
210050,32.0,,2014
210060,70.0,66.0,2014
210070,32.0,32.0,2014
210080,16.0,16.0,2014
210083,15.0,15.0,2014
210087,17.0,17.0,2014
210090,52.0,52.0,2014
210095,58.0,58.0,2014
210100,59.0,50.0,2014
210110,20.0,20.0,2014
210120,134.0,119.0,2014
210130,39.0,39.0,2014
210140,119.0,88.0,2014
210150,31.0,31.0,2014
210160,150.0,129.0,2014
210170,52.0,47.0,2014
210177,15.0,15.0,2014
210180,15.0,15.0,2014
210190,16.0,16.0,2014
210193,15.0,15.0,2014
210197,15.0,15.0,2014
210200,36.0,36.0,2014
210203,25.0,25.0,2014
210210,69.0,69.0,2014
210220,35.0,35.0,2014
210230,29.0,29.0,2014
210232,74.0,74.0,2014
210240,19.0,19.0,2014
210250,12.0,12.0,2014
210255,17.0,17.0,2014
210260,10.0,10.0,2014
210270,34.0,34.0,2014
210275,12.0,12.0,2014
210280,53.0,53.0,2014
210290,38.0,38.0,2014
210300,218.0,211.0,2014
210310,15.0,15.0,2014
210312,19.0,19.0,2014
210320,122.0,90.0,2014
210325,21.0,21.0,2014
210330,120.0,120.0,2014
210340,100.0,100.0,2014
210350,163.0,163.0,2014
210355,15.0,15.0,2014
210360,153.0,153.0,2014
210370,99.0,93.0,2014
210375,14.0,14.0,2014
210380,29.0,29.0,2014
210390,26.0,26.0,2014
210400,44.0,44.0,2014
210405,61.0,53.0,2014
210407,20.0,20.0,2014
210408,18.0,18.0,2014
210409,13.0,13.0,2014
210410,31.0,31.0,2014
210420,17.0,17.0,2014
210440,29.0,29.0,2014
210450,24.0,24.0,2014
210455,13.0,13.0,2014
210460,30.0,30.0,2014
210462,22.0,22.0,2014
210465,33.0,33.0,2014
210467,204.0,200.0,2014
210470,18.0,18.0,2014
210480,167.0,164.0,2014
210490,36.0,32.0,2014
210500,30.0,30.0,2014
210510,34.0,34.0,2014
210515,37.0,37.0,2014
210520,37.0,37.0,2014
210530,782.0,523.0,2014
210535,33.0,33.0,2014
210540,39.0,39.0,2014
210542,76.0,76.0,2014
210545,16.0,16.0,2014
210547,17.0,17.0,2014
210550,58.0,58.0,2014
210560,22.0,22.0,2014
210565,16.0,16.0,2014
210570,144.0,98.0,2014
210580,16.0,16.0,2014
210590,45.0,45.0,2014
210594,20.0,20.0,2014
210596,13.0,13.0,2014
210600,38.0,38.0,2014
210610,20.0,20.0,2014
210620,2.0,2.0,2014
210630,20.0,20.0,2014
210632,15.0,15.0,2014
210637,18.0,18.0,2014
210640,23.0,23.0,2014
210650,17.0,17.0,2014
210660,45.0,41.0,2014
210663,25.0,25.0,2014
210667,9.0,9.0,2014
210670,17.0,17.0,2014
210675,44.0,44.0,2014
210680,22.0,22.0,2014
210690,83.0,83.0,2014
210700,30.0,30.0,2014
210710,44.0,44.0,2014
210720,20.0,20.0,2014
210725,14.0,14.0,2014
210730,15.0,15.0,2014
210735,37.0,37.0,2014
210740,20.0,20.0,2014
210745,38.0,38.0,2014
210750,28.0,28.0,2014
210760,36.0,36.0,2014
210770,48.0,48.0,2014
210780,50.0,50.0,2014
210790,118.0,118.0,2014
210800,35.0,35.0,2014
210805,20.0,20.0,2014
210810,39.0,35.0,2014
210820,142.0,115.0,2014
210825,34.0,34.0,2014
210830,71.0,71.0,2014
210840,27.0,27.0,2014
210845,52.0,48.0,2014
210850,40.0,40.0,2014
210860,117.0,111.0,2014
210870,35.0,35.0,2014
210880,18.0,18.0,2014
210890,39.0,39.0,2014
210900,50.0,50.0,2014
210910,281.0,277.0,2014
210920,15.0,15.0,2014
210930,14.0,14.0,2014
210940,14.0,14.0,2014
210945,48.0,32.0,2014
210950,50.0,50.0,2014
210955,15.0,15.0,2014
210960,123.0,113.0,2014
210970,9.0,9.0,2014
210975,17.0,17.0,2014
210980,46.0,46.0,2014
210990,271.0,251.0,2014
211000,86.0,86.0,2014
211003,58.0,58.0,2014
211010,42.0,42.0,2014
211020,70.0,63.0,2014
211023,14.0,14.0,2014
211027,15.0,15.0,2014
211030,30.0,30.0,2014
211040,24.0,24.0,2014
211050,49.0,49.0,2014
211060,45.0,41.0,2014
211065,21.0,21.0,2014
211070,34.0,30.0,2014
211080,18.0,18.0,2014
211085,24.0,24.0,2014
211090,18.0,18.0,2014
211100,50.0,50.0,2014
211102,35.0,35.0,2014
211105,16.0,16.0,2014
211107,19.0,19.0,2014
211110,54.0,52.0,2014
211120,124.0,72.0,2014
211125,13.0,13.0,2014
211130,3960.0,3302.0,2014
211140,29.0,29.0,2014
211150,49.0,49.0,2014
211153,26.0,26.0,2014
211157,18.0,18.0,2014
211160,23.0,19.0,2014
211163,16.0,16.0,2014
211170,53.0,53.0,2014
211172,36.0,36.0,2014
211174,20.0,20.0,2014
211178,20.0,20.0,2014
211180,59.0,55.0,2014
211190,15.0,15.0,2014
211195,16.0,16.0,2014
211200,16.0,16.0,2014
211210,84.0,84.0,2014
211220,120.0,115.0,2014
211223,29.0,29.0,2014
211227,17.0,17.0,2014
211230,50.0,50.0,2014
211240,52.0,52.0,2014
211250,52.0,52.0,2014
211260,46.0,46.0,2014
211270,37.0,37.0,2014
211280,116.0,110.0,2014
211285,21.0,21.0,2014
211290,54.0,50.0,2014
211300,48.0,48.0,2014
211400,77.0,77.0,2014
220010,15.0,15.0,2014
220020,27.0,27.0,2014
220025,12.0,12.0,2014
220030,22.0,22.0,2014
220040,37.0,37.0,2014
220050,45.0,45.0,2014
220060,11.0,11.0,2014
220070,10.0,10.0,2014
220090,6.0,6.0,2014
220100,4.0,4.0,2014
220110,18.0,18.0,2014
220115,6.0,6.0,2014
220120,74.0,70.0,2014
220140,25.0,25.0,2014
220150,33.0,33.0,2014
220160,15.0,15.0,2014
220170,6.0,6.0,2014
220180,12.0,12.0,2014
220190,66.0,66.0,2014
220191,6.0,6.0,2014
220196,10.0,10.0,2014
220200,27.0,27.0,2014
220202,16.0,16.0,2014
220220,253.0,253.0,2014
220225,4.0,4.0,2014
220230,23.0,23.0,2014
220240,9.0,9.0,2014
220250,11.0,11.0,2014
220260,46.0,46.0,2014
220270,23.0,23.0,2014
220277,7.0,7.0,2014
220280,45.0,45.0,2014
220290,41.0,41.0,2014
220300,25.0,25.0,2014
220310,26.0,26.0,2014
220320,35.0,35.0,2014
220330,21.0,21.0,2014
220335,7.0,7.0,2014
220350,34.0,34.0,2014
220360,8.0,8.0,2014
220370,65.0,65.0,2014
220375,16.0,16.0,2014
220380,2.0,2.0,2014
220390,219.0,144.0,2014
220400,14.0,14.0,2014
220410,4.0,4.0,2014
220420,14.0,14.0,2014
220430,34.0,34.0,2014
220440,12.0,12.0,2014
220450,32.0,32.0,2014
220470,11.0,11.0,2014
220480,15.0,15.0,2014
220490,20.0,20.0,2014
220500,21.0,21.0,2014
220510,26.0,26.0,2014
220520,35.0,31.0,2014
220530,7.0,7.0,2014
220540,17.0,17.0,2014
220550,23.0,23.0,2014
220553,13.0,13.0,2014
220555,10.0,10.0,2014
220560,8.0,8.0,2014
220570,32.0,32.0,2014
220580,64.0,64.0,2014
220585,7.0,7.0,2014
220590,7.0,7.0,2014
220595,38.0,38.0,2014
220600,11.0,11.0,2014
220610,15.0,15.0,2014
220620,23.0,23.0,2014
220640,13.0,13.0,2014
220650,20.0,20.0,2014
220660,25.0,25.0,2014
220670,6.0,6.0,2014
220680,13.0,13.0,2014
220690,12.0,12.0,2014
220700,148.0,132.0,2014
220720,81.0,81.0,2014
220730,8.0,8.0,2014
220740,12.0,12.0,2014
220750,17.0,17.0,2014
220760,25.0,25.0,2014
220770,445.0,369.0,2014
220780,62.0,59.0,2014
220790,70.0,49.0,2014
220800,498.0,444.0,2014
220810,16.0,16.0,2014
220820,35.0,35.0,2014
220830,65.0,65.0,2014
220840,92.0,92.0,2014
220850,17.0,17.0,2014
220855,3.0,3.0,2014
220860,16.0,16.0,2014
220870,19.0,19.0,2014
220880,27.0,27.0,2014
220890,8.0,8.0,2014
220900,2.0,2.0,2014
220910,31.0,30.0,2014
220920,10.0,10.0,2014
220937,16.0,8.0,2014
220940,6.0,6.0,2014
220950,7.0,7.0,2014
220960,20.0,20.0,2014
220970,7.0,7.0,2014
220980,15.0,15.0,2014
220987,14.0,14.0,2014
220990,12.0,12.0,2014
221000,67.0,67.0,2014
221010,3.0,3.0,2014
221020,8.0,8.0,2014
221030,29.0,29.0,2014
221040,44.0,39.0,2014
221050,41.0,41.0,2014
221060,289.0,268.0,2014
221065,16.0,,2014
221070,52.0,52.0,2014
221080,32.0,32.0,2014
221090,12.0,12.0,2014
221100,3054.0,2326.0,2014
221110,35.0,35.0,2014
221120,37.0,37.0,2014
221130,46.0,46.0,2014
221140,14.0,14.0,2014
221170,19.0,19.0,2014
230020,70.0,70.0,2014
230030,150.0,146.0,2014
230040,34.0,34.0,2014
230060,19.0,19.0,2014
230070,33.0,33.0,2014
230075,36.0,36.0,2014
230080,16.0,16.0,2014
230090,12.0,12.0,2014
230100,92.0,40.0,2014
230110,109.0,96.0,2014
230120,50.0,50.0,2014
230125,18.0,18.0,2014
230130,42.0,42.0,2014
230140,12.0,12.0,2014
230150,16.0,16.0,2014
230160,44.0,44.0,2014
230170,89.0,89.0,2014
230180,19.0,19.0,2014
230185,17.0,17.0,2014
230190,355.0,323.0,2014
230195,25.0,25.0,2014
230200,30.0,30.0,2014
230205,9.0,9.0,2014
230210,66.0,52.0,2014
230220,25.0,25.0,2014
230230,30.0,30.0,2014
230240,66.0,66.0,2014
230250,225.0,203.0,2014
230260,79.0,79.0,2014
230270,83.0,83.0,2014
230280,122.0,108.0,2014
230290,18.0,18.0,2014
230300,21.0,21.0,2014
230310,18.0,18.0,2014
230320,33.0,33.0,2014
230330,26.0,26.0,2014
230340,16.0,16.0,2014
230350,69.0,65.0,2014
230360,18.0,18.0,2014
230365,23.0,23.0,2014
230370,293.0,293.0,2014
230380,100.0,90.0,2014
230390,33.0,33.0,2014
230393,16.0,16.0,2014
230395,11.0,11.0,2014
230400,14.0,14.0,2014
230410,146.0,113.0,2014
230420,600.0,388.0,2014
230423,30.0,30.0,2014
230425,56.0,56.0,2014
230426,12.0,12.0,2014
230427,9.0,9.0,2014
230428,118.0,56.0,2014
230430,42.0,42.0,2014
230435,8.0,8.0,2014
230440,7824.0,5308.0,2014
230445,12.0,12.0,2014
230450,31.0,31.0,2014
230460,13.0,13.0,2014
230470,32.0,32.0,2014
230480,25.0,25.0,2014
230490,19.0,19.0,2014
230495,13.0,13.0,2014
230500,45.0,45.0,2014
230510,5.0,5.0,2014
230520,21.0,21.0,2014
230523,46.0,46.0,2014
230526,21.0,21.0,2014
230530,29.0,29.0,2014
230533,8.0,8.0,2014
230535,14.0,14.0,2014
230540,119.0,54.0,2014
230550,221.0,181.0,2014
230560,19.0,19.0,2014
230565,18.0,18.0,2014
230570,26.0,26.0,2014
230580,172.0,45.0,2014
230590,57.0,53.0,2014
230600,30.0,30.0,2014
230610,18.0,18.0,2014
230620,17.0,17.0,2014
230625,38.0,38.0,2014
230630,34.0,34.0,2014
230640,166.0,135.0,2014
230650,28.0,28.0,2014
230655,30.0,30.0,2014
230670,19.0,19.0,2014
230680,40.0,40.0,2014
230690,31.0,31.0,2014
230700,24.0,24.0,2014
230710,64.0,64.0,2014
230720,33.0,33.0,2014
230725,17.0,,2014
230730,427.0,316.0,2014
230740,65.0,65.0,2014
230750,47.0,43.0,2014
230760,104.0,92.0,2014
230763,24.0,24.0,2014
230765,266.0,239.0,2014
230770,119.0,51.0,2014
230780,32.0,32.0,2014
230790,17.0,9.0,2014
230800,30.0,30.0,2014
230810,70.0,70.0,2014
230820,20.0,20.0,2014
230830,77.0,33.0,2014
230835,28.0,28.0,2014
230837,11.0,11.0,2014
230840,72.0,72.0,2014
230850,30.0,30.0,2014
230860,25.0,25.0,2014
230870,149.0,119.0,2014
230880,12.0,12.0,2014
230890,20.0,20.0,2014
230900,40.0,40.0,2014
230910,9.0,9.0,2014
230920,20.0,20.0,2014
230930,43.0,43.0,2014
230940,20.0,20.0,2014
230945,19.0,19.0,2014
230950,37.0,37.0,2014
230960,82.0,80.0,2014
230970,24.0,24.0,2014
230980,20.0,20.0,2014
231000,9.0,9.0,2014
231010,16.0,16.0,2014
231020,47.0,47.0,2014
231025,25.0,25.0,2014
231030,34.0,34.0,2014
231040,28.0,28.0,2014
231050,56.0,56.0,2014
231060,12.0,12.0,2014
231070,68.0,68.0,2014
231080,19.0,19.0,2014
231085,14.0,14.0,2014
231090,18.0,18.0,2014
231100,21.0,21.0,2014
231110,22.0,22.0,2014
231120,18.0,18.0,2014
231123,13.0,13.0,2014
231126,17.0,17.0,2014
231130,101.0,94.0,2014
231135,24.0,24.0,2014
231140,266.0,266.0,2014
231150,28.0,28.0,2014
231160,59.0,56.0,2014
231170,28.0,28.0,2014
231180,240.0,187.0,2014
231190,37.0,37.0,2014
231195,14.0,14.0,2014
231200,40.0,40.0,2014
231210,19.0,19.0,2014
231220,46.0,46.0,2014
231230,87.0,73.0,2014
231240,35.0,35.0,2014
231250,30.0,30.0,2014
231260,20.0,20.0,2014
231270,52.0,48.0,2014
231280,7.0,7.0,2014
231290,832.0,744.0,2014
231300,26.0,26.0,2014
231310,48.0,48.0,2014
231320,39.0,39.0,2014
231325,16.0,16.0,2014
231330,81.0,81.0,2014
231335,16.0,16.0,2014
231340,65.0,65.0,2014
231350,29.0,29.0,2014
231355,13.0,13.0,2014
231360,51.0,45.0,2014
231370,20.0,20.0,2014
231375,13.0,13.0,2014
231380,25.0,25.0,2014
231390,12.0,12.0,2014
231395,20.0,20.0,2014
231400,61.0,53.0,2014
231410,69.0,69.0,2014
240010,72.0,66.0,2014
240020,80.0,76.0,2014
240030,27.0,27.0,2014
240050,103.0,103.0,2014
240060,50.0,50.0,2014
240070,21.0,21.0,2014
240080,28.0,28.0,2014
240090,32.0,32.0,2014
240100,73.0,69.0,2014
240110,34.0,34.0,2014
240120,20.0,20.0,2014
240140,9.0,9.0,2014
240145,21.0,21.0,2014
240150,12.0,12.0,2014
240160,35.0,35.0,2014
240170,15.0,15.0,2014
240180,15.0,15.0,2014
240190,8.0,8.0,2014
240200,221.0,184.0,2014
240220,40.0,40.0,2014
240230,66.0,66.0,2014
240240,33.0,33.0,2014
240250,21.0,21.0,2014
240260,47.0,47.0,2014
240270,24.0,24.0,2014
240280,12.0,12.0,2014
240290,9.0,9.0,2014
240300,12.0,12.0,2014
240310,141.0,141.0,2014
240320,16.0,16.0,2014
240325,137.0,137.0,2014
240330,25.0,25.0,2014
240340,20.0,20.0,2014
240360,26.0,26.0,2014
240370,15.0,15.0,2014
240380,25.0,25.0,2014
240390,6.0,6.0,2014
240400,28.0,28.0,2014
240420,14.0,14.0,2014
240430,25.0,25.0,2014
240440,13.0,13.0,2014
240450,27.0,27.0,2014
240490,15.0,15.0,2014
240500,25.0,25.0,2014
240510,16.0,16.0,2014
240520,20.0,20.0,2014
240530,18.0,18.0,2014
240540,1.0,1.0,2014
240560,23.0,23.0,2014
240570,33.0,33.0,2014
240580,34.0,34.0,2014
240600,21.0,21.0,2014
240610,48.0,48.0,2014
240620,10.0,10.0,2014
240640,8.0,8.0,2014
240650,29.0,29.0,2014
240670,31.0,31.0,2014
240680,8.0,8.0,2014
240690,12.0,12.0,2014
240700,30.0,30.0,2014
240710,38.0,34.0,2014
240720,75.0,75.0,2014
240725,12.0,12.0,2014
240730,19.0,19.0,2014
240740,30.0,30.0,2014
240760,16.0,16.0,2014
240770,11.0,11.0,2014
240780,21.0,21.0,2014
240790,13.0,13.0,2014
240800,632.0,512.0,2014
240810,2873.0,2001.0,2014
240820,24.0,4.0,2014
240830,38.0,38.0,2014
240840,14.0,14.0,2014
240850,16.0,16.0,2014
240860,8.0,8.0,2014
240880,6.0,6.0,2014
240890,50.0,50.0,2014
240910,30.0,30.0,2014
240930,40.0,40.0,2014
240940,128.0,119.0,2014
240950,14.0,14.0,2014
240960,4.0,4.0,2014
240980,11.0,11.0,2014
240990,13.0,13.0,2014
241000,10.0,10.0,2014
241010,30.0,30.0,2014
241020,31.0,31.0,2014
241030,22.0,22.0,2014
241040,1.0,1.0,2014
241050,8.0,8.0,2014
241060,15.0,15.0,2014
241070,17.0,17.0,2014
241080,15.0,15.0,2014
241100,18.0,18.0,2014
241110,13.0,13.0,2014
241120,91.0,91.0,2014
241140,41.0,41.0,2014
241142,13.0,13.0,2014
241150,40.0,40.0,2014
241170,10.0,10.0,2014
241200,64.0,64.0,2014
241210,26.0,26.0,2014
241220,126.0,80.0,2014
241230,16.0,16.0,2014
241240,38.0,38.0,2014
241250,91.0,91.0,2014
241255,7.0,7.0,2014
241260,40.0,36.0,2014
241270,4.0,4.0,2014
241280,19.0,19.0,2014
241290,32.0,32.0,2014
241300,14.0,14.0,2014
241310,7.0,7.0,2014
241330,12.0,12.0,2014
241335,17.0,17.0,2014
241340,22.0,22.0,2014
241355,13.0,13.0,2014
241360,15.0,15.0,2014
241370,12.0,12.0,2014
241380,14.0,7.0,2014
241390,3.0,3.0,2014
241400,17.0,17.0,2014
241410,27.0,27.0,2014
241415,3.0,3.0,2014
241420,15.0,15.0,2014
241440,30.0,30.0,2014
241445,12.0,12.0,2014
241450,16.0,16.0,2014
241460,13.0,13.0,2014
241475,8.0,8.0,2014
241480,12.0,12.0,2014
241490,15.0,15.0,2014
241500,21.0,21.0,2014
250010,20.0,20.0,2014
250020,10.0,10.0,2014
250030,46.0,46.0,2014
250040,28.0,28.0,2014
250060,15.0,15.0,2014
250070,28.0,28.0,2014
250080,4.0,4.0,2014
250090,13.0,13.0,2014
250100,76.0,76.0,2014
250110,36.0,36.0,2014
250130,40.0,40.0,2014
250150,37.0,37.0,2014
250157,9.0,9.0,2014
250160,20.0,20.0,2014
250180,48.0,48.0,2014
250190,23.0,23.0,2014
250200,33.0,30.0,2014
250230,16.0,16.0,2014
250240,19.0,19.0,2014
250250,32.0,32.0,2014
250260,29.0,29.0,2014
250280,25.0,25.0,2014
250290,18.0,18.0,2014
250300,38.0,35.0,2014
250320,49.0,35.0,2014
250340,5.0,5.0,2014
250350,22.0,22.0,2014
250370,251.0,219.0,2014
250400,1768.0,1413.0,2014
250420,9.0,9.0,2014
250430,64.0,64.0,2014
250440,58.0,58.0,2014
250480,34.0,34.0,2014
250500,16.0,16.0,2014
250510,60.0,60.0,2014
250540,23.0,23.0,2014
250570,16.0,16.0,2014
250600,61.0,49.0,2014
250610,16.0,16.0,2014
