cod_ibge6,ano,leitos_uti,leitos_complementares
220840,2014,0.0,1.0
221000,2014,0.0,1.0
221050,2014,0.0,1.0
221060,2014,0.0,7.0
221100,2014,210.0,308.0
221110,2014,0.0,1.0
230110,2014,0.0,7.0
230160,2014,0.0,2.0
230190,2014,43.0,57.0
230210,2014,0.0,3.0
230250,2014,8.0,12.0
230330,2014,0.0,2.0
230370,2014,0.0,7.0
230410,2014,2.0,12.0
230420,2014,15.0,22.0
230440,2014,755.0,1225.0
230500,2014,0.0,2.0
230530,2014,0.0,1.0
230540,2014,0.0,2.0
230550,2014,0.0,1.0
230580,2014,0.0,1.0
230600,2014,0.0,2.0
230680,2014,0.0,1.0
230730,2014,55.0,85.0
230750,2014,0.0,2.0
230765,2014,0.0,21.0
230770,2014,0.0,5.0
230780,2014,0.0,1.0
230945,2014,0.0,5.0
230960,2014,0.0,13.0
231020,2014,0.0,1.0
231030,2014,0.0,1.0
231060,2014,0.0,1.0
231126,2014,0.0,2.0
231130,2014,10.0,28.0
231135,2014,0.0,1.0
231140,2014,40.0,61.0
231180,2014,0.0,7.0
231190,2014,0.0,1.0
231220,2014,0.0,3.0
231230,2014,0.0,4.0
231290,2014,124.0,191.0
231340,2014,0.0,19.0
231380,2014,0.0,2.0
240020,2014,0.0,2.0
240030,2014,0.0,1.0
240050,2014,0.0,5.0
240170,2014,0.0,2.0
240200,2014,5.0,7.0
240260,2014,0.0,2.0
240310,2014,4.0,4.0
240325,2014,20.0,25.0
240520,2014,0.0,1.0
240610,2014,0.0,1.0
240650,2014,0.0,2.0
240800,2014,95.0,126.0
240810,2014,410.0,488.0
240940,2014,6.0,7.0
241140,2014,0.0,1.0
241280,2014,0.0,1.0
241335,2014,0.0,1.0
250040,2014,0.0,1.0
250240,2014,0.0,1.0
250370,2014,7.0,17.0
250400,2014,159.0,277.0
250440,2014,0.0,1.0
250480,2014,0.0,1.0
250560,2014,0.0,1.0
250570,2014,0.0,1.0
250600,2014,0.0,3.0
250630,2014,6.0,9.0
250750,2014,257.0,395.0
250840,2014,0.0,2.0
250920,2014,2.0,3.0
250970,2014,0.0,1.0
251080,2014,22.0,35.0
251120,2014,0.0,5.0
251130,2014,10.0,10.0
251210,2014,6.0,6.0
251230,2014,0.0,1.0
251270,2014,4.0,4.0
251370,2014,10.0,11.0
251430,2014,0.0,1.0
251620,2014,16.0,19.0
251650,2014,0.0,2.0
260010,2014,4.0,4.0
260120,2014,13.0,22.0
260160,2014,0.0,4.0
260190,2014,10.0,10.0
260200,2014,0.0,1.0
260210,2014,0.0,2.0
260260,2014,0.0,1.0
260290,2014,30.0,34.0
260345,2014,0.0,10.0
260400,2014,0.0,3.0
260410,2014,98.0,144.0
260510,2014,0.0,3.0
260550,2014,0.0,4.0
260570,2014,0.0,4.0
260600,2014,26.0,29.0
260630,2014,0.0,1.0
260790,2014,89.0,89.0
260890,2014,20.0,30.0
260950,2014,0.0,1.0
260960,2014,82.0,232.0
260990,2014,10.0,10.0
261000,2014,30.0,37.0
261060,2014,0.0,2.0
261070,2014,75.0,81.0
261080,2014,0.0,1.0
261100,2014,0.0,2.0
261110,2014,85.0,147.0
261160,2014,1070.0,1508.0
261170,2014,0.0,1.0
261190,2014,0.0,1.0
261220,2014,11.0,22.0
261245,2014,0.0,1.0
261247,2014,0.0,1.0
261370,2014,10.0,21.0
261390,2014,17.0,22.0
261640,2014,10.0,20.0
270030,2014,79.0,99.0
270130,2014,0.0,1.0
270230,2014,28.0,29.0
270240,2014,0.0,2.0
270400,2014,0.0,1.0
270430,2014,338.0,493.0
270440,2014,0.0,2.0
270630,2014,18.0,21.0
270650,2014,0.0,1.0
270670,2014,0.0,11.0
270770,2014,0.0,8.0
270800,2014,10.0,32.0
270850,2014,0.0,2.0
270860,2014,14.0,33.0
280020,2014,0.0,1.0
280030,2014,353.0,492.0
280067,2014,0.0,1.0
280130,2014,0.0,2.0
280210,2014,0.0,4.0
280290,2014,0.0,31.0
280340,2014,0.0,1.0
280350,2014,10.0,15.0
280450,2014,0.0,2.0
280540,2014,0.0,1.0
280570,2014,0.0,3.0
280590,2014,0.0,1.0
290070,2014,23.0,47.0
290160,2014,0.0,2.0
290270,2014,0.0,3.0
290290,2014,0.0,1.0
290300,2014,0.0,4.0
290320,2014,25.0,77.0
290327,2014,0.0,1.0
290340,2014,0.0,1.0
290390,2014,0.0,1.0
290420,2014,0.0,1.0
290490,2014,0.0,1.0
290510,2014,0.0,2.0
290550,2014,0.0,1.0
290570,2014,8.0,59.0
290590,2014,0.0,1.0
290600,2014,0.0,10.0
290650,2014,20.0,21.0
290690,2014,2.0,2.0
290750,2014,0.0,1.0
290810,2014,0.0,1.0
290840,2014,0.0,1.0
290850,2014,0.0,16.0
290870,2014,0.0,1.0
290910,2014,0.0,1.0
290930,2014,0.0,1.0
290970,2014,0.0,1.0
290980,2014,10.0,11.0
291040,2014,0.0,1.0
291070,2014,0.0,2.0
291072,2014,19.0,20.0
291080,2014,111.0,184.0
291110,2014,0.0,2.0
291170,2014,20.0,24.0
291190,2014,0.0,11.0
291200,2014,0.0,1.0
291210,2014,0.0,3.0
291320,2014,0.0,2.0
291340,2014,0.0,1.0
291360,2014,35.0,50.0
291390,2014,0.0,4.0
291400,2014,0.0,4.0
291440,2014,0.0,2.0
291460,2014,26.0,31.0
291465,2014,0.0,1.0
291470,2014,0.0,3.0
291480,2014,63.0,102.0
291490,2014,0.0,1.0
291530,2014,0.0,1.0
291560,2014,0.0,2.0
291570,2014,0.0,1.0
