cod_ibge6,capital
110020,1
120040,1
130260,1
140010,1
150140,1
160030,1
172100,1
211130,1
221100,1
230440,1
240810,1
250750,1
261160,1
270430,1
280030,1
292740,1
310620,1
320530,1
330455,1
355030,1
410690,1
420540,1
431490,1
500270,1
510340,1
520870,1
530010,1
